Feature,gain
ST_Slope,49.910221099853516
ExerciseAngina,22.047908782958984
ChestPainType,12.058807373046875
Cholesterol,8.238253593444824
Sex,6.608375549316406
Oldpeak,6.39300012588501
MaxHR,5.117395877838135
FastingBS,4.66954231262207
Age,4.2821526527404785
RestingECG,3.5394716262817383
RestingBP,3.1187634468078613
